Phenotype name, Repository, ID, DOI
Schizophrenia, HDR UK Phenotype Library, PH1718/3648, https://doi.org/10.48533/t474-2t30
Bipolar disorder, HDR UK Phenotype Library, PH1719/3644, https://doi.org/10.48533/f4v6-9n63
Depression, HDR UK Phenotype Library, PH1720/3647, https://doi.org/10.48533/4q41-wn18
Cerebrovascular disease, HDR UK Phenotype Library, PH1791/3732, https://doi.org/10.48533/fh61-yn11
Chronic renal failure, HDR UK Phenotype Library, PH1792/3733, https://doi.org/10.48533/safq-1y70
Myocardial infarction, HDR UK Phenotype Library, PH1722/3650, https://doi.org/10.48533/ce3y-9n16
Angina, HDR UK Phenotype Library, PH956/2134, https://doi.org/10.48533/6tq8-tg75
Diabetes, HDR UK Phenotype Library, PH945/2123, https://doi.org/10.48533/3xzd-0b02
Heart failure, HDR UK Phenotype Library, PH968/2146, https://doi.org/10.48533/wp8n-jr47
PCI, HDR UK Phenotype Library, PH1793/3735, https://doi.org/10.48533/tbk2-6w98
